nohup: ignoring input
Using GPU (CUDA)
Step 18500: loss = 1.9658, lr = 0.0003, speed = 92063 tok/s
Step 18600: loss = 2.0150, lr = 0.0003, speed = 92098 tok/s
Step 18700: loss = 1.8856, lr = 0.0003, speed = 92132 tok/s
Step 18800: loss = 1.9437, lr = 0.0003, speed = 92165 tok/s
Step 18900: loss = 1.9611, lr = 0.0003, speed = 92198 tok/s
Step 19000: loss = 1.8336, lr = 0.0003, speed = 92230 tok/s
Step 19000: validation loss = 1.7791
Step 19100: loss = 1.7715, lr = 0.0003, speed = 91920 tok/s
Step 19200: loss = 1.9532, lr = 0.0003, speed = 91954 tok/s
Step 19300: loss = 1.9378, lr = 0.0003, speed = 91988 tok/s
Step 19400: loss = 1.9158, lr = 0.0003, speed = 92022 tok/s
Step 19500: loss = 1.8843, lr = 0.0003, speed = 92056 tok/s
Step 19600: loss = 1.8196, lr = 0.0003, speed = 92090 tok/s
Step 19700: loss = 1.9152, lr = 0.0003, speed = 92123 tok/s
Step 19800: loss = 1.9065, lr = 0.0003, speed = 92156 tok/s
Step 19900: loss = 1.9354, lr = 0.0003, speed = 92187 tok/s
Step 20000: loss = 1.9183, lr = 0.0003, speed = 92217 tok/s
Step 20000: validation loss = 1.7788
Step 20100: loss = 1.8130, lr = 0.0003, speed = 91920 tok/s
Step 20200: loss = 1.8054, lr = 0.0003, speed = 91951 tok/s
Step 20300: loss = 1.9360, lr = 0.0003, speed = 91982 tok/s
Step 20400: loss = 1.8794, lr = 0.0003, speed = 92012 tok/s
Step 20500: loss = 1.8632, lr = 0.0003, speed = 92042 tok/s
Step 20600: loss = 1.8132, lr = 0.0003, speed = 92072 tok/s
Step 20700: loss = 1.9320, lr = 0.0003, speed = 92102 tok/s
Step 20800: loss = 1.7011, lr = 0.0003, speed = 92131 tok/s
Step 20900: loss = 1.8542, lr = 0.0003, speed = 92160 tok/s
Step 21000: loss = 1.8186, lr = 0.0003, speed = 92189 tok/s
Step 21000: validation loss = 1.7659
Step 21100: loss = 1.9158, lr = 0.0003, speed = 91909 tok/s
Step 21200: loss = 1.8551, lr = 0.0003, speed = 91939 tok/s
Step 21300: loss = 1.8914, lr = 0.0003, speed = 91968 tok/s
Step 21400: loss = 1.7655, lr = 0.0003, speed = 91997 tok/s
Step 21500: loss = 1.8142, lr = 0.0003, speed = 92026 tok/s
Step 21600: loss = 1.8972, lr = 0.0003, speed = 92055 tok/s
Step 21700: loss = 1.8345, lr = 0.0003, speed = 92083 tok/s
Step 21800: loss = 1.9196, lr = 0.0003, speed = 92111 tok/s
Step 21900: loss = 1.6702, lr = 0.0003, speed = 92140 tok/s
Step 22000: loss = 1.8677, lr = 0.0003, speed = 92167 tok/s
Step 22000: validation loss = 1.7448
Step 22100: loss = 1.8231, lr = 0.0003, speed = 91892 tok/s
Step 22200: loss = 1.6673, lr = 0.0003, speed = 91920 tok/s
Step 22300: loss = 1.7414, lr = 0.0003, speed = 91949 tok/s
Step 22400: loss = 1.7545, lr = 0.0003, speed = 91977 tok/s
Step 22500: loss = 1.7996, lr = 0.0003, speed = 92005 tok/s
Step 22600: loss = 1.8259, lr = 0.0003, speed = 92033 tok/s
Step 22700: loss = 1.8198, lr = 0.0003, speed = 92060 tok/s
Step 22800: loss = 1.9404, lr = 0.0003, speed = 92087 tok/s
Step 22900: loss = 1.7153, lr = 0.0003, speed = 92113 tok/s
Step 23000: loss = 1.8295, lr = 0.0003, speed = 92140 tok/s
Step 23000: validation loss = 1.7425
Step 23100: loss = 1.8095, lr = 0.0003, speed = 91879 tok/s
Step 23200: loss = 1.8586, lr = 0.0003, speed = 91907 tok/s
Step 23300: loss = 1.7655, lr = 0.0003, speed = 91934 tok/s
Step 23400: loss = 1.9572, lr = 0.0003, speed = 91961 tok/s
Step 23500: loss = 1.8596, lr = 0.0003, speed = 91988 tok/s
Step 23600: loss = 1.7084, lr = 0.0003, speed = 92015 tok/s
Step 23700: loss = 1.6487, lr = 0.0003, speed = 92041 tok/s
Step 23800: loss = 1.8346, lr = 0.0003, speed = 92067 tok/s
Step 23900: loss = 1.6948, lr = 0.0003, speed = 92093 tok/s
Step 24000: loss = 1.7955, lr = 0.0003, speed = 92118 tok/s
Step 24000: validation loss = 1.7216
Step 24100: loss = 1.8191, lr = 0.0003, speed = 91866 tok/s
Step 24200: loss = 1.8919, lr = 0.0003, speed = 91892 tok/s
Step 24300: loss = 1.8188, lr = 0.0003, speed = 91918 tok/s
Step 24400: loss = 1.7681, lr = 0.0003, speed = 91944 tok/s
Step 24500: loss = 1.8197, lr = 0.0003, speed = 91970 tok/s
Step 24600: loss = 1.8231, lr = 0.0003, speed = 91995 tok/s
Step 24700: loss = 1.8668, lr = 0.0003, speed = 92020 tok/s
Step 24800: loss = 1.8415, lr = 0.0003, speed = 92045 tok/s
Step 24900: loss = 1.8015, lr = 0.0003, speed = 92069 tok/s
Step 25000: loss = 1.8174, lr = 0.0003, speed = 92094 tok/s
Step 25000: validation loss = 1.7016
Step 25100: loss = 1.8678, lr = 0.0003, speed = 91855 tok/s
Step 25200: loss = 1.7939, lr = 0.0003, speed = 91880 tok/s
Step 25300: loss = 1.6666, lr = 0.0003, speed = 91904 tok/s
Step 25400: loss = 1.8241, lr = 0.0003, speed = 91928 tok/s
Step 25500: loss = 1.7388, lr = 0.0003, speed = 91953 tok/s
Step 25600: loss = 1.7840, lr = 0.0003, speed = 91976 tok/s
Step 25700: loss = 1.7556, lr = 0.0003, speed = 92000 tok/s
Step 25800: loss = 1.8713, lr = 0.0003, speed = 92023 tok/s
Step 25900: loss = 1.7277, lr = 0.0003, speed = 92046 tok/s
Step 26000: loss = 1.7227, lr = 0.0003, speed = 92069 tok/s
Step 26000: validation loss = 1.6930
Step 26100: loss = 1.8259, lr = 0.0003, speed = 91843 tok/s
Step 26200: loss = 1.7868, lr = 0.0003, speed = 91866 tok/s
Step 26300: loss = 1.8617, lr = 0.0003, speed = 91889 tok/s
Step 26400: loss = 1.8624, lr = 0.0003, speed = 91912 tok/s
Step 26500: loss = 1.7878, lr = 0.0003, speed = 91935 tok/s
Step 26600: loss = 1.8207, lr = 0.0003, speed = 91957 tok/s
Step 26700: loss = 1.8576, lr = 0.0003, speed = 91979 tok/s
Step 26800: loss = 1.7158, lr = 0.0003, speed = 92002 tok/s
Step 26900: loss = 1.7381, lr = 0.0003, speed = 92023 tok/s
Step 27000: loss = 1.7658, lr = 0.0003, speed = 92046 tok/s
Step 27000: validation loss = 1.6753
Step 27100: loss = 1.7529, lr = 0.0003, speed = 91828 tok/s
Step 27200: loss = 1.7820, lr = 0.0002, speed = 91850 tok/s
Step 27300: loss = 1.7075, lr = 0.0002, speed = 91872 tok/s
Step 27400: loss = 1.7983, lr = 0.0002, speed = 91894 tok/s
Step 27500: loss = 1.6699, lr = 0.0002, speed = 91916 tok/s
Step 27600: loss = 1.7118, lr = 0.0002, speed = 91938 tok/s
Step 27700: loss = 1.7188, lr = 0.0002, speed = 91960 tok/s
Step 27800: loss = 1.7228, lr = 0.0002, speed = 91981 tok/s
Step 27900: loss = 1.7835, lr = 0.0002, speed = 92002 tok/s
Step 28000: loss = 1.8699, lr = 0.0002, speed = 92023 tok/s
Step 28000: validation loss = 1.6764
Step 28100: loss = 1.7447, lr = 0.0002, speed = 91814 tok/s
Step 28200: loss = 1.7762, lr = 0.0002, speed = 91836 tok/s
Step 28300: loss = 1.7611, lr = 0.0002, speed = 91856 tok/s
Step 28400: loss = 1.6285, lr = 0.0002, speed = 91877 tok/s
Step 28500: loss = 1.6612, lr = 0.0002, speed = 91898 tok/s
Step 28600: loss = 1.7241, lr = 0.0002, speed = 91919 tok/s
Step 28700: loss = 1.6599, lr = 0.0002, speed = 91940 tok/s
Step 28800: loss = 1.7781, lr = 0.0002, speed = 91961 tok/s
Step 28900: loss = 1.7855, lr = 0.0002, speed = 91981 tok/s
Step 29000: loss = 1.6725, lr = 0.0002, speed = 92001 tok/s
Step 29000: validation loss = 1.6669
Step 29100: loss = 1.7307, lr = 0.0002, speed = 91798 tok/s
Step 29200: loss = 1.7853, lr = 0.0002, speed = 91819 tok/s
Step 29300: loss = 1.7475, lr = 0.0002, speed = 91840 tok/s
Step 29400: loss = 1.7422, lr = 0.0002, speed = 91861 tok/s
Step 29500: loss = 1.7592, lr = 0.0002, speed = 91881 tok/s
Step 29600: loss = 1.6572, lr = 0.0002, speed = 91902 tok/s
Step 29700: loss = 1.7632, lr = 0.0002, speed = 91923 tok/s
